DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,DT_POSSE,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGA
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,ES,ES,ESPÍRITO SANTO,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,ES,ES,ESPÍRITO SANTO,6,Deputado Federal,10
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,ES,ES,ESPÍRITO SANTO,7,Deputado Estadual,30
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,ES,ES,ESPÍRITO SANTO,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,ES,ES,ESPÍRITO SANTO,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,GO,GO,GOIÁS,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,GO,GO,GOIÁS,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,GO,GO,GOIÁS,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,GO,GO,GOIÁS,6,Deputado Federal,17
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,GO,GO,GOIÁS,7,Deputado Estadual,41
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,GO,GO,GOIÁS,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,GO,GO,GOIÁS,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MA,MA,MARANHÃO,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MA,MA,MARANHÃO,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MA,MA,MARANHÃO,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MA,MA,MARANHÃO,6,Deputado Federal,18
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MA,MA,MARANHÃO,7,Deputado Estadual,42
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MA,MA,MARANHÃO,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MA,MA,MARANHÃO,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MG,MG,MINAS GERAIS,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MG,MG,MINAS GERAIS,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MG,MG,MINAS GERAIS,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MG,MG,MINAS GERAIS,6,Deputado Federal,53
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MG,MG,MINAS GERAIS,7,Deputado Estadual,77
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MG,MG,MINAS GERAIS,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MG,MG,MINAS GERAIS,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MS,MS,MATO GROSSO DO SUL,3,Governador,1
