scenario_id,period_id,election_year,start_inclusive,end_exclusive,party_set
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-046,2022,2024-12-06,2025-10-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-047,2022,2025-10-08,2025-10-09,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-048,2022,2025-10-09,2025-11-13,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-049,2022,2025-11-13,2025-11-17,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-050,2022,2025-11-17,2025-12-08,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,CV5-051,2022,2025-12-08,2025-12-19,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS
